target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
dev-perl/Graph	--build	OK	OK	11	4	12	4	4	4	=	94
dev-perl/HTML-Template	--build	OK	OK	3	1	4	1	1	1	=	36
dev-perl/Hash-MultiValue	--build	OK	OK	3	1	4	1	1	1	=	37
dev-perl/IO-BufferedSelect	--build	OK	OK	3	1	4	1	1	1	=	36
dev-perl/Data-Visitor	--build	OK	OK	97	34	98	34	34	34	=	503
dev-perl/Lab-Zhinst	--build	FAIL(3)	FAIL(1)	6	0	1	0	0	0	=	13
dev-perl/GDTextUtil	--build	OK	OK	19	7	20	7	7	7	=	188
dev-perl/Dist-Metadata	--build	OK	OK	30	12	31	12	12	12	=	519
dev-perl/Math-Random	--build	OK	OK	3	1	4	1	1	1	=	43
dev-ml/async_unix	--build	OK	OK	248	83	249	83	83	83	=	2290
dev-perl/Mail-Sender	--build	OK	OK	15	6	16	6	6	6	=	146
dev-perl/Math-PlanePath	--build	OK	OK	54	19	55	19	19	19	=	332
dev-perl/Net-CIDR-Lite	--build	OK	OK	3	1	4	1	1	1	=	37
dev-perl/Net-Pcap	--build	OK	OK	9	3	10	3	3	3	=	81
dev-perl/Image-Imlib2	--build	FAIL(3)	FAIL(1)	47	3	30	12	8	12	-4	510
dev-perl/PBKDF2-Tiny	--build	OK	OK	3	1	4	1	1	1	=	41
dev-perl/Number-WithError	--build	OK	OK	6	2	7	2	2	2	=	68
dev-perl/HTML-Element-Extended	--build	OK	OK	51	19	52	19	19	19	=	665
dev-haskell/lifted-base	--build	FAIL(124)	FAIL(1)	28	0	0	1	0	1	-1	7202
dev-perl/Parallel-Prefork	--build	OK	OK	21	7	22	7	7	7	=	129
dev-perl/POE-XS-Queue-Array	--build	OK	OK	22	8	23	8	8	8	=	222
dev-perl/MouseX-Types	--build	OK	OK	116	41	117	41	41	41	=	637
dev-perl/MooseX-Getopt	--build	OK	OK	124	43	125	43	43	43	=	666
dev-perl/POE-Component-PreforkDispatch	--build	OK	OK	37	13	38	13	13	13	=	294
dev-perl/Crypt-RSA	--build	OK	OK	199	72	200	72	72	72	=	1491
dev-perl/LWPx-ParanoidAgent	--build	OK	OK	92	33	93	33	33	33	=	889
dev-perl/Sereal-Encoder	--build	OK	OK	11	4	12	4	4	4	=	75
dev-perl/Shell-Config-Generate	--build	OK	OK	6	2	7	2	2	2	=	62
dev-perl/Statistics-Descriptive-Discrete	--build	OK	OK	3	1	4	1	1	1	=	35
dev-perl/String-Ediff	--build	OK	OK	3	1	4	1	1	1	=	37
dev-perl/Signal-Mask	--build	OK	OK	9	3	10	3	3	3	=	63
dev-perl/String-ShellQuote	--build	OK	OK	3	1	4	1	1	1	=	36
dev-perl/Sys-Mmap	--build	OK	OK	3	1	4	1	1	1	=	37
dev-perl/Term-Encoding	--build	OK	OK	3	1	4	1	1	1	=	35
dev-perl/PDL-GSL	--build	FAIL(3)	FAIL(1)	468	?	195	0	48	0	+48	507
dev-perl/Test-Base	--build	OK	OK	14	5	15	5	5	5	=	85
dev-perl/Test-InDistDir	--build	OK	OK	3	1	4	1	1	1	=	34
dev-perl/Plucene	--build	OK	OK	68	23	69	23	23	23	=	307
dev-perl/DBIx-Class-DynamicDefault	--build	OK	OK	250	89	251	89	89	89	=	1706
dev-perl/Test-Inter	--build	OK	OK	3	1	4	1	1	1	=	35
dev-perl/Module-Install	--build	OK	OK	125	46	126	46	46	46	=	1042
dev-haskell/psqueues	--build	FAIL(3)	FAIL(124)	25	9	9	1	0	1	-1	7203
dev-perl/Module-Install-AuthorTests	--build	OK	OK	128	47	129	47	47	47	=	1052
dev-perl/Test-More-UTF8	--build	OK	OK	5	2	6	2	2	2	=	57
dev-perl/Test-Without-Module	--build	OK	OK	3	1	4	1	1	1	=	37
dev-perl/Test-utf8	--build	OK	OK	3	1	4	1	1	1	=	36
dev-perl/Time-Duration-Parse	--build	OK	OK	3	1	4	1	1	1	=	36
dev-perl/Template-DBI	--build	OK	OK	41	15	42	15	15	15	=	258
dev-perl/Text-Diff	--build	OK	OK	6	2	7	2	2	2	=	59
dev-perl/Test-DistManifest	--build	OK	OK	30	11	31	11	11	11	=	152
dev-perl/Unicode-String	--build	OK	OK	5	2	6	2	2	2	=	58
dev-perl/User-Identity	--build	OK	OK	6	2	7	2	2	2	=	60
dev-perl/Syntax-Keyword-Junction	--build	OK	OK	53	19	54	19	19	19	=	305
dev-perl/Wx	--build	FAIL(3)	FAIL(1)	214	?	72	0	1	0	+1	34
dev-perl/XML-DTDParser	--build	OK	OK	3	1	4	1	1	1	=	36
dev-perl/XML-Fast	--build	OK	OK	3	1	4	1	1	1	=	40
dev-perl/autovivification	--build	OK	OK	3	1	4	1	1	1	=	47
dev-perl/WWW-Form-UrlEncoded-XS	--build	OK	OK	25	9	26	9	9	9	=	161
dev-perl/Perl-Critic-Policy-Dynamic-NoIndirect	--build	OK	OK	126	45	127	45	45	45	=	624
dev-haskell/split	--build	FAIL(3)	FAIL(124)	13	5	5	1	0	1	-1	7204
dev-perl/aliased	--build	OK	OK	25	9	26	9	9	9	=	158
dev-perl/Test-Dependencies	--build	OK	OK	23	9	24	9	9	9	=	479
dev-perl/pcsc-perl	--build	OK	OK	14	6	15	6	6	6	=	142
dev-haskell/unix-time	--build	FAIL(124)	FAIL(1)	19	0	0	1	0	1	-1	7201
dev-perl/strictures	--build	OK	OK	22	9	23	9	9	9	=	170
dev-python/allpairspy	--build	OK	OK	3	1	4	1	1	1	=	41
dev-python/antlr4-python3-runtime	--build	OK	OK	3	1	4	1	1	1	=	44
dev-perl/namespace-autoclean	--build	OK	OK	50	18	51	18	18	18	=	286
dev-perl/X11-Protocol	--build	OK	OK	32	11	32	11	11	11	=	407
dev-perl/namespace-clean	--build	OK	OK	47	17	48	17	17	17	=	261
dev-python/apscheduler	--build	OK	OK	6	2	7	2	2	2	=	71
dev-python/backports-zstd	--build	OK	OK	3	1	4	1	1	1	=	45
dev-python/blessed	--build	OK	OK	6	2	7	2	2	2	=	86
dev-perl/RPC-XML	--build	OK	OK	114	42	115	42	42	42	=	889
dev-python/click-default-group	--build	OK	OK	6	2	7	2	2	2	=	85
dev-python/cloudpickle	--build	OK	OK	3	1	4	1	1	1	=	43
dev-python/comm	--build	OK	OK	3	1	4	1	1	1	=	41
dev-python/blosc	--build	OK	OK	19	7	20	7	7	7	=	154
dev-python/cysignals	--build	OK	OK	7	3	8	3	3	3	=	133
dev-python/curtsies	--build	OK	OK	14	5	15	5	5	5	=	173
dev-python/dbus-python	--build	OK	OK	12	5	13	5	5	5	=	199
dev-python/dbus-fast	--build	OK	OK	15	6	16	6	6	6	=	238
dev-perl/XML-TreePP	--build	OK	OK	78	28	79	28	28	28	=	757
dev-python/entrypoints	--build	OK	OK	3	1	4	1	1	1	=	37
dev-perl/XML-XPath	--build	OK	OK	83	30	84	30	30	30	=	793
dev-python/elastic-transport	--build	OK	OK	6	2	7	2	2	2	=	67
dev-python/easy-thumbnails	--build	OK	OK	12	4	13	4	4	4	=	141
dev-perl/WWW-Dict-Leo-Org	--build	OK	OK	103	37	104	37	37	37	=	883
dev-php/ca-bundle	--build	OK	OK	29	11	30	11	11	11	=	666
dev-python/immutables	--build	OK	OK	3	1	4	1	1	1	=	46
dev-python/flufl-lock	--build	OK	OK	6	2	7	2	2	2	=	71
dev-perl/Test-LWP-UserAgent	--build	OK	OK	129	47	130	47	47	47	=	1018
dev-python/etuples	--build	OK	OK	15	5	16	5	5	5	=	136
dev-python/jupyter-core	--build	OK	OK	6	2	7	2	2	2	=	81
dev-python/bpython	--build	OK	OK	65	22	66	22	22	22	=	527
dev-python/libvirt-python	--build	FAIL(3)	FAIL(1)	206	?	65	0	5	0	+5	65
dev-python/license-expression	--build	OK	OK	6	2	7	2	2	2	=	118
dev-python/mdurl	--build	OK	OK	3	1	4	1	1	1	=	84
dev-perl/XML-SimpleObject	--build	OK	OK	117	42	118	42	42	42	=	1037
dev-python/ntplib	--build	OK	OK	3	1	4	1	1	1	=	67
dev-perl/Dist-Zilla-Plugin-ReversionOnRelease	--build	OK	OK	426	147	427	147	147	147	=	2693
dev-python/httpx	--build	OK	OK	29	10	30	10	10	10	=	269
dev-python/outputcheck	--build	OK	OK	3	1	4	1	1	1	=	57
dev-python/podcastparser	--build	OK	OK	3	1	4	1	1	1	=	53
dev-python/pulsectl-asyncio	--build	FAIL(3)	FAIL(1)	153	?	49	0	1	0	+1	49
dev-python/logbook	--build	OK	OK	17	6	18	6	6	6	=	485
dev-python/pycairo	--build	FAIL(3)	FAIL(1)	27	0	18	6	6	6	=	327
dev-php/pecl-dio	--build	OK	OK	26	10	27	10	10	10	=	1272
dev-python/pycotap	--build	OK	OK	3	1	4	1	1	1	=	121
dev-php/pecl-xattr	--build	OK	OK	26	10	27	10	10	10	=	1241
dev-python/podman	--build	OK	OK	31	11	32	11	11	11	=	501
dev-python/primecountpy	--build	OK	OK	16	6	17	6	6	6	=	566
dev-python/pyrqlite	--build	OK	OK	3	1	4	1	1	1	=	72
dev-python/pycurl-requests	--build	OK	OK	9	3	10	3	3	3	=	183
dev-python/noiseprotocol	--build	OK	OK	25	9	26	9	9	9	=	788
dev-python/pytest-click	--build	OK	OK	12	4	13	4	4	4	=	149
dev-python/pytest-cov	--build	OK	OK	14	5	15	5	5	5	=	155
dev-python/pylast	--build	OK	OK	32	11	33	11	11	11	=	311
dev-python/django-prometheus	--build	OK	OK	74	26	75	26	26	26	=	1194
dev-python/pytest-mock	--build	OK	OK	9	3	10	3	3	3	=	209
dev-python/pytest-xdist	--build	OK	OK	12	4	13	4	4	4	=	233
dev-python/pyudev	--build	OK	OK	3	1	4	1	1	1	=	80
dev-python/google-api-python-client	--build	OK	OK	71	25	72	25	25	25	=	1292
dev-python/pyacoustid	--build	FAIL(3)	FAIL(1)	77	?	56	0	18	0	+18	1261
dev-python/python-augeas	--build	OK	OK	17	6	18	6	6	6	=	585
dev-python/rdflib	--build	OK	OK	27	10	28	10	10	10	=	356
dev-python/pysnmp	--build	OK	OK	34	12	35	12	12	12	=	784
dev-python/schema	--build	OK	OK	3	1	4	1	1	1	=	66
dev-python/setproctitle	--build	OK	OK	3	1	4	1	1	1	=	63
dev-lang/dafny-bin	--build	OK	OK	12	4	13	4	4	4	=	6788
dev-python/threadpoolctl	--build	OK	OK	3	1	4	1	1	1	=	62
dev-python/sqlalchemy	--build	OK	OK	5	2	6	2	2	2	=	189
dev-python/siphash24	--build	OK	OK	11	5	12	5	5	5	=	214
dev-python/unidecode	--build	OK	OK	3	1	4	1	1	1	=	99
dev-python/waitress	--build	OK	OK	3	1	4	1	1	1	=	74
dev-python/sphinxcontrib-jsmath	--build	OK	OK	36	12	37	12	12	12	=	403
dev-python/python-pskc	--build	OK	OK	42	15	43	15	15	15	=	1008
dev-python/pyopengl-accelerate	--build	OK	FAIL(1)	75	?	74	0	26	0	+26	1359
dev-python/wxpython	--build	FAIL(3)	FAIL(1)	340	?	113	0	2	0	+2	68
dev-python/ytmusicapi	--build	OK	OK	3	1	4	1	1	1	=	69
dev-python/zenlib	--build	OK	OK	3	1	4	1	1	1	=	49
dev-python/requests-credssp	--build	FAIL(3)	FAIL(1)	53	6	24	12	6	12	-6	837
dev-python/watchdog	--build	OK	OK	11	4	12	4	4	4	=	222
dev-python/zstandard	--build	OK	OK	12	4	13	4	4	4	=	229
dev-ruby/action_text-trix	--build	FAIL(3)	FAIL(1)	238	1	86	3	3	3	=	85
dev-python/pygame	--build	FAIL(3)	FAIL(1)	120	?	73	0	23	0	+23	1724
dev-ruby/activeldap	--build	FAIL(3)	FAIL(1)	209	0	73	2	2	2	=	111
dev-qt/qtwebsockets	--build	FAIL(3)	FAIL(1)	129	?	85	0	25	0	+25	400
dev-ruby/afm	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	98
dev-python/test	--build	OK	OK	8	3	9	3	3	3	=	899
dev-qt/qtconnectivity	--build	FAIL(3)	FAIL(1)	141	?	93	0	27	0	+27	487
dev-ruby/appraisal	--build	FAIL(3)	FAIL(1)	143	0	51	2	2	2	=	80
dev-ruby/aws-partitions	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	79
dev-ruby/bacon	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	78
dev-python/nbclient	--build	OK	OK	155	54	156	54	54	54	=	2498
dev-ruby/binding_of_caller	--build	FAIL(3)	FAIL(1)	143	0	51	2	2	2	=	75
dev-ruby/bson	--build	FAIL(3)	FAIL(1)	149	0	53	2	2	2	=	77
dev-ruby/certificate_authority	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	81
dev-ruby/concurrent-ruby	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	88
dev-ruby/domain_name	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	87
dev-ruby/crass	--build	FAIL(3)	FAIL(1)	142	0	51	2	2	2	=	89
dev-python/txamqp	--build	OK	OK	65	23	66	23	23	23	=	976
dev-ruby/elasticsearch-transport	--build	FAIL(3)	FAIL(1)	158	0	56	2	2	2	=	90
dev-ruby/equatable	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	89
dev-ruby/highline	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	85
dev-ruby/introspection	--build	FAIL(3)	FAIL(1)	143	0	51	2	2	2	=	81
dev-ruby/loofah	--build	FAIL(3)	FAIL(1)	154	0	56	2	2	2	=	80
dev-ruby/letter_opener	--build	FAIL(3)	FAIL(1)	155	0	55	2	2	2	=	81
dev-ruby/mixlib-shellout	--build	FAIL(3)	FAIL(1)	146	0	52	2	2	2	=	79
dev-ruby/pcaprub	--build	FAIL(3)	FAIL(1)	143	0	53	3	3	3	=	101
dev-ruby/rack-attack	--build	FAIL(3)	FAIL(1)	143	0	51	2	2	2	=	77
dev-ruby/rails	--build	FAIL(3)	FAIL(1)	286	1	102	3	3	3	=	80
dev-ruby/rbpdf-font	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	75
dev-ruby/rdiscount	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	72
dev-ruby/readline	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	73
dev-ruby/regexp_property_values	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	71
dev-ruby/rouge	--build	FAIL(3)	FAIL(1)	145	0	52	2	2	2	=	74
dev-ruby/rspec-collection_matchers	--build	FAIL(3)	FAIL(1)	149	0	53	2	2	2	=	73
dev-ruby/ruby_engine	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	75
dev-ruby/semantic_puppet	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	75
dev-ruby/sawyer	--build	FAIL(3)	FAIL(1)	158	0	56	2	2	2	=	75
dev-ruby/simplecov	--build	FAIL(3)	FAIL(1)	149	0	53	2	2	2	=	74
dev-ruby/simplecov_json_formatter	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	73
dev-ruby/slop	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	76
dev-ruby/stringex	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	75
dev-ruby/systemu	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	75
dev-ruby/test-unit-ruby-core	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	73
dev-ruby/time	--build	FAIL(3)	FAIL(1)	137	0	49	2	2	2	=	75
dev-ruby/tty-which	--build	FAIL(3)	FAIL(1)	140	0	50	2	2	2	=	76
dev-tex/dvi2gr	--build	OK	OK	6	2	7	2	2	2	=	117
dev-tcltk/tdom	--build	OK	OK	6	2	7	2	2	2	=	187
dev-tex/foiltex	--build	FAIL(3)	FAIL(1)	231	?	101	0	27	0	+27	281
dev-tex/culmus-latex	--build	FAIL(3)	FAIL(1)	243	?	108	0	29	0	+29	284
dev-python/python-systemd	--build	FAIL(3)	FAIL(1)	74	?	61	0	28	0	+28	2264
dev-tex/latex2html	--build	FAIL(3)	FAIL(1)	260	?	117	0	33	0	+33	291
dev-python/cleo	--build	OK	OK	47	19	48	19	19	19	=	3862
dev-tex/latex2pydata	--build	FAIL(3)	FAIL(1)	299	?	136	0	39	0	+39	328
dev-util/astyle	--build	OK	OK	3	1	4	1	1	1	=	78
dev-texlive/texlive-formatsextra	--build	FAIL(3)	FAIL(1)	233	?	102	0	27	0	+27	277
dev-util/autoproject	--build	OK	OK	3	1	4	1	1	1	=	57
dev-texlive/texlive-langitalian	--build	FAIL(3)	FAIL(1)	205	?	93	0	27	0	+27	287
dev-util/cmake	--build	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	13
dev-util/ROPgadget	--build	OK	FAIL(1)	7	?	7	0	2	0	+2	321
dev-util/dialog	--build	OK	OK	3	1	4	1	1	1	=	71
dev-util/clinfo	--build	OK	OK	11	4	12	4	4	4	=	140
dev-util/conf2struct	--build	OK	OK	11	4	12	4	4	4	=	148
dev-util/abi-compliance-checker	--build	OK	OK	14	5	15	5	5	5	=	314
dev-python/quantities	--build	OK	OK	28	11	29	11	11	11	=	2511
dev-util/ltrace	--build	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	12
dev-util/meson	--build	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	13
dev-util/imediff	--build	OK	OK	3	1	4	1	1	1	=	59
dev-python/netcdf4	--build	OK	OK	45	17	46	17	17	17	=	3645
dev-util/ninja	--build	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	13
dev-util/gcovr	--build	OK	OK	13	5	14	5	5	5	=	204
dev-util/maxcso	--build	OK	OK	6	2	7	2	2	2	=	85
dev-util/nsight-systems	--build	FAIL(3)	FAIL(1)	375	?	125	0	2	0	+2	58
dev-util/strace	--build	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	13
dev-util/ccache	--build	OK	OK	11	1	12	1	4	1	+3	474
dev-qt/qtcore	--build	OK	OK	6	2	7	2	2	2	=	1933
dev-python/levenshtein	--build	OK	OK	34	14	35	14	14	14	=	4080
dev-qt/qtxml	--build	OK	OK	9	3	10	3	3	3	=	1969
dev-util/local-log4j-vuln-scanner	--build	OK	OK	7	3	8	3	3	3	=	483
dev-vcs/cvs	--build	OK	OK	3	1	4	1	1	1	=	232
games-action/descent2-vertigo	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	35
dev-util/prek	--build	OK	OK	11	4	12	4	4	4	=	511
games-arcade/commandergenius	--build	FAIL(3)	FAIL(1)	99	?	31	0	0	0	=	73
dev-util/packer	--build	OK	OK	7	3	8	3	3	3	=	601
dev-vcs/mercurial	--build	OK	OK	15	5	16	5	5	5	=	362
games-arcade/kajaani-kombat	--build	FAIL(3)	FAIL(1)	35	?	18	0	4	0	+4	246
games-arcade/holotz-castle	--build	FAIL(3)	FAIL(1)	61	?	32	0	8	0	+8	351
games-arcade/late	--build	FAIL(3)	FAIL(1)	15	?	10	0	3	0	+3	316
games-arcade/syobon	--build	FAIL(3)	FAIL(1)	35	?	18	0	4	0	+4	231
games-board/four-in-a-row	--build	FAIL(3)	FAIL(1)	280	?	93	0	1	0	+1	56
dev-util/qdevicemonitor	--build	FAIL(3)	FAIL(1)	175	?	120	0	38	0	+38	845
games-board/freedoko	--build	FAIL(3)	FAIL(1)	189	?	64	0	1	0	+1	46
games-board/pasang-emas	--build	FAIL(3)	FAIL(1)	172	?	59	0	1	0	+1	44
games-board/polyglot	--build	OK	OK	3	1	4	1	1	1	=	56
games-misc/bsod	--build	OK	OK	3	1	4	1	1	1	=	43
games-misc/openmsx	--build	OK	OK	3	1	4	1	1	1	=	48
games-misc/lolcat	--build	FAIL(3)	FAIL(1)	146	0	52	2	2	2	=	92
games-puzzle/gnome2048	--build	FAIL(3)	FAIL(1)	251	?	84	0	2	0	+2	61
dev-vcs/breezy	--build	OK	OK	48	17	49	17	17	17	=	1028
games-puzzle/amoebax	--build	FAIL(3)	FAIL(1)	26	?	15	0	4	0	+4	175
dev-vcs/subversion	--build	OK	OK	24	9	25	9	9	9	=	906
games-puzzle/gnurobbo	--build	FAIL(3)	FAIL(1)	32	?	17	0	4	0	+4	177
games-rpg/comi	--build	FAIL(3)	FAIL(1)	174	?	59	0	1	0	+1	44
games-rpg/crosscode	--build	FAIL(3)	FAIL(1)	294	?	97	0	3	0	+3	60
dev-util/howdoi	--build	OK	OK	91	32	92	32	32	32	=	1473
games-rpg/crosscode-a-new-home	--build	FAIL(3)	FAIL(1)	297	?	97	0	3	0	+3	65
games-misc/fortune-mod-cs	--build	OK	OK	37	14	38	14	14	14	=	447
games-rpg/lure	--build	FAIL(3)	FAIL(1)	174	?	59	0	1	0	+1	46
games-util/gamepick	--build	FAIL(3)	FAIL(1)	258	?	85	0	1	0	+1	47
games-util/catcodec	--build	OK	OK	3	1	4	1	1	1	=	50
games-puzzle/pipepanic	--build	OK	OK	9	3	10	3	3	3	=	365
games-board/xmahjongg	--build	OK	OK	34	12	34	12	12	12	=	605
games-server/monopd	--build	OK	OK	7	3	8	3	3	3	=	170
dev-util/source-highlight	--build	OK	OK	8	3	9	3	3	3	=	1518
gui-apps/gnome-console	--build	FAIL(3)	FAIL(1)	301	?	102	0	2	0	+2	55
gui-apps/wf-recorder	--build	FAIL(3)	FAIL(1)	164	?	54	0	1	0	+1	58
gui-libs/libadwaita	--build	FAIL(3)	FAIL(1)	270	?	92	0	2	0	+2	57
games-roguelike/angband	--build	FAIL(3)	FAIL(1)	53	2	33	12	9	12	-3	554
gui-apps/grim	--build	OK	OK	16	6	17	6	6	6	=	176
games-arcade/retrobattle	--build	OK	FAIL(1)	55	?	53	0	18	0	+18	1170
gui-libs/vte-common	--build	FAIL(3)	FAIL(1)	249	?	85	0	2	0	+2	61
lxde-base/lxappearance-obconf	--build	FAIL(3)	FAIL(1)	272	?	89	0	1	0	+1	45
games-sports/speed-dreams	--build	FAIL(3)	FAIL(1)	132	?	73	0	19	0	+19	469
gui-libs/neatvnc	--build	OK	OK	11	6	12	6	4	6	-2	151
dev-vcs/tkcvs	--build	FAIL(3)	FAIL(1)	87	6	60	26	19	26	-7	1443
mail-client/alpine	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	46
mail-client/claws-mail	--build	FAIL(3)	FAIL(1)	300	?	98	0	1	0	+1	45
gui-libs/wf-config	--build	OK	OK	13	5	14	5	5	5	=	174
mail-filter/rblcheck	--build	OK	OK	3	1	4	1	1	1	=	51
dev-python/lmfit	--build	OK	OK	71	27	72	27	27	27	=	5714
mail-filter/sieve-connect	--build	OK	OK	26	9	27	9	9	9	=	171
mail-client/mailx	--build	OK	OK	26	10	27	10	10	10	=	292
mail-client/mutt	--build	OK	OK	9	3	10	3	3	3	=	282
games-board/cgoban	--build	OK	OK	46	16	46	16	16	16	=	1419
games-util/xboxdrv	--build	FAIL(3)	OK	54	19	17	19	2	19	-17	774
mate-base/mate-applets-meta	--build	FAIL(3)	FAIL(1)	515	?	169	0	2	0	+2	56
mate-extra/mate-power-manager	--build	FAIL(3)	FAIL(1)	376	?	124	0	2	0	+2	57
media-fonts/cheapskatefonts	--build	OK	OK	3	1	4	1	1	1	=	42
media-fonts/gofont-mono	--build	OK	OK	3	1	4	1	1	1	=	43
media-fonts/lxgw-wenkai	--build	OK	OK	3	1	4	1	1	1	=	47
media-fonts/ohsnap	--build	OK	OK	3	1	4	1	1	1	=	43
media-fonts/paratype-astra	--build	OK	OK	3	1	4	1	1	1	=	43
mail-mta/postfix	--build	FAIL(3)	FAIL(1)	18	1	10	5	4	5	-1	290
media-fonts/signika	--build	OK	OK	3	1	4	1	1	1	=	43
media-fonts/font-misc-ethiopic	--build	FAIL(3)	FAIL(1)	27	0	17	5	5	5	=	150
media-fonts/ubuntu-font-family	--build	OK	OK	3	1	4	1	1	1	=	42
mate-base/mate-menus	--build	OK	OK	11	4	12	4	4	4	=	218
mail-filter/dkimproxy	--build	OK	OK	71	25	72	25	25	25	=	486
games-util/grfcodec	--build	OK	OK	10	4	11	4	4	4	=	947
media-fonts/viga	--build	OK	OK	3	1	4	1	1	1	=	45
media-fonts/webby-fonts	--build	OK	OK	3	1	4	1	1	1	=	44
media-gfx/fondu	--build	OK	OK	3	1	4	1	1	1	=	46
media-gfx/gnome-screenshot	--build	FAIL(3)	FAIL(1)	183	?	62	0	1	0	+1	43
media-gfx/ephoto	--build	FAIL(3)	FAIL(1)	328	?	110	0	2	0	+2	62
media-gfx/jpegtoavi	--build	OK	OK	3	1	4	1	1	1	=	42
mail-filter/gld	--build	FAIL(3)	FAIL(1)	9	3	7	2	2	2	=	538
media-gfx/mandelbulber	--build	FAIL(3)	FAIL(1)	179	?	58	0	1	0	+1	43
media-gfx/rawtherapee	--build	FAIL(3)	FAIL(1)	310	?	102	0	1	0	+1	43
media-gfx/ristretto	--build	FAIL(3)	FAIL(1)	181	?	61	0	1	0	+1	44
media-gfx/prusaslicer	--build	FAIL(3)	FAIL(1)	562	?	186	0	2	0	+2	58
media-gfx/sam2p	--build	OK	OK	3	1	4	1	1	1	=	61
media-gfx/symboleditor	--build	FAIL(3)	FAIL(1)	447	?	147	0	4	0	+4	70
media-libs/alsa-oss	--build	FAIL(3)	FAIL(1)	12	0	8	2	2	2	=	74
media-libs/cimg	--build	OK	OK	3	1	4	1	1	1	=	43
media-gfx/openclipart	--build	OK	OK	3	1	4	1	1	1	=	190
media-libs/exempi	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	37
media-libs/giflib	--build	OK	OK	3	1	4	1	1	1	=	47
media-gfx/svg2rlg	--build	FAIL(3)	FAIL(1)	49	?	31	0	9	0	+9	200
media-libs/freetype	--build	FAIL(3)	FAIL(1)	6	2	4	1	1	1	=	81
media-libs/id3lib	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	40
media-libs/freeimage	--build	OK	OK	3	1	4	1	1	1	=	130
media-gfx/imagemagick	--build	OK	OK	9	3	10	3	3	3	=	364
media-fonts/font-misc-cyrillic	--build	FAIL(3)	FAIL(1)	50	3	32	12	9	12	-3	536
media-libs/lerc	--build	OK	OK	3	1	4	1	1	1	=	78
media-gfx/jigl	--build	OK	OK	17	6	18	6	6	6	=	415
media-libs/libcaca	--build	OK	OK	3	1	4	1	1	1	=	106
media-libs/libdvbcsa	--build	OK	OK	3	1	4	1	1	1	=	55
media-libs/libmpd	--build	OK	OK	3	1	4	1	1	1	=	49
media-libs/libvpx	--build	FAIL(3)	FAIL(1)	5	0	2	0	0	0	=	37
media-libs/libpng	--build	OK	OK	3	1	4	1	1	1	=	56
media-libs/munt-mt32emu	--build	OK	OK	3	1	4	1	1	1	=	44
media-libs/libfpx	--build	OK	OK	3	1	4	1	1	1	=	134
media-libs/qhull	--build	OK	OK	3	1	4	1	1	1	=	55
media-libs/quesoglc	--build	FAIL(3)	FAIL(1)	59	?	34	0	10	0	+10	168
media-libs/sdl2-image	--build	OK	OK	6	2	7	2	2	2	=	200
media-libs/sdl-net	--build	OK	OK	9	3	10	3	3	3	=	263
media-libs/libsdl3	--build	OK	OK	3	1	4	1	1	1	=	408
media-libs/waffle	--build	FAIL(3)	FAIL(1)	108	?	35	0	1	0	+1	84
media-libs/tiff	--build	OK	OK	3	1	4	1	1	1	=	120
media-libs/sdl3-mixer	--build	FAIL(3)	FAIL(1)	12	0	8	2	2	2	=	237
media-plugins/gst-plugins-aom	--build	FAIL(3)	FAIL(1)	178	?	59	0	1	0	+1	68
media-plugins/gst-plugins-sctp	--build	FAIL(3)	FAIL(1)	173	?	57	0	1	0	+1	71
media-plugins/gst-plugins-soundtouch	--build	FAIL(3)	FAIL(1)	176	?	58	0	1	0	+1	63
