target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
app-cdr/mirage2iso	--build	FAIL(3)	FAIL(1)	123	9	54	39	15	39	-24	1462
app-emacs/request	--build	OK	OK	21	7	22	7	7	7	=	341
app-emulation/hercules-sdl-telnet	--build	OK	OK	3	1	4	1	1	1	=	36
app-emacs/pandoc-mode	--build	OK	OK	32	11	33	11	11	11	=	390
app-emacs/lsp-java	--build	OK	FAIL(1)	88	?	88	0	29	0	+29	517
app-emulation/virt-manager	--build	FAIL(3)	FAIL(1)	277	?	89	0	5	0	+5	55
app-eselect/eselect-lapack	--build	OK	OK	3	1	4	1	1	1	=	36
app-emacs/riece	--build	OK	OK	18	6	19	6	6	6	=	293
app-emacs/osm	--build	OK	FAIL(1)	22	?	22	0	7	0	+7	450
app-forensics/examiner	--build	OK	OK	3	1	4	1	1	1	=	39
app-forensics/afl	--build	OK	OK	3	1	4	1	1	1	=	50
app-forensics/mac-robber	--build	OK	OK	3	1	4	1	1	1	=	37
app-i18n/ibus-anthy	--build	FAIL(3)	FAIL(1)	263	?	90	0	2	0	+2	44
app-i18n/ibus-table-chinese	--build	FAIL(3)	FAIL(1)	263	?	90	0	2	0	+2	48
app-forensics/scalpel	--build	FAIL(3)	FAIL(1)	6	2	4	1	1	1	=	84
app-i18n/ibus-table-extraphrase	--build	FAIL(3)	FAIL(1)	263	?	90	0	2	0	+2	49
app-emacs/s	--build	OK	OK	18	6	19	6	6	6	=	291
app-forensics/rkhunter	--build	OK	FAIL(1)	7	?	7	0	2	0	+2	108
app-emacs/setup	--build	OK	OK	18	6	19	6	6	6	=	293
app-emulation/virtiofsd	--build	FAIL(3)	FAIL(1)	14	3	7	3	2	3	-1	165
app-misc/banner	--build	OK	OK	3	1	4	1	1	1	=	45
app-misc/anki	--build	FAIL(3)	FAIL(1)	448	?	150	0	2	0	+2	54
app-emacs/undo-tree	--build	OK	OK	21	7	22	7	7	7	=	348
app-emacs/zenburn-theme	--build	OK	OK	18	6	19	6	6	6	=	322
app-emulation/hercules	--build	OK	OK	6	2	7	2	2	2	=	325
